Pavarde                       Vardas                        Galutinis (Med.)
Pavarde3509                   Vardas3509                    3.00 
Pavarde351                    Vardas351                     6.00 
Pavarde3510                   Vardas3510                    6.00 
Pavarde3511                   Vardas3511                    7.00 
Pavarde3512                   Vardas3512                    5.00 
Pavarde3513                   Vardas3513                    4.00 
Pavarde3514                   Vardas3514                    3.00 
Pavarde3515                   Vardas3515                    7.00 
Pavarde3516                   Vardas3516                    4.00 
Pavarde3517                   Vardas3517                    6.00 
Pavarde3518                   Vardas3518                    7.00 
Pavarde3519                   Vardas3519                    7.00 
Pavarde352                    Vardas352                     6.00 
Pavarde3520                   Vardas3520                    7.00 
Pavarde3521                   Vardas3521                    5.00 
Pavarde3522                   Vardas3522                    7.00 
Pavarde3523                   Vardas3523                    5.00 
Pavarde3524                   Vardas3524                    8.00 
Pavarde3525                   Vardas3525                    5.00 
Pavarde3526                   Vardas3526                    5.00 
Pavarde3527                   Vardas3527                    4.00 
Pavarde3528                   Vardas3528                    6.00 
Pavarde3529                   Vardas3529                    5.00 
Pavarde353                    Vardas353                     6.00 
Pavarde3530                   Vardas3530                    5.00 
Pavarde3531                   Vardas3531                    5.00 
Pavarde3532                   Vardas3532                    7.00 
Pavarde3533                   Vardas3533                    6.00 
Pavarde3534                   Vardas3534                    5.00 
Pavarde3535                   Vardas3535                    3.00 
Pavarde3536                   Vardas3536                    6.00 
Pavarde3537                   Vardas3537                    5.00 
Pavarde3538                   Vardas3538                    4.00 
Pavarde3539                   Vardas3539                    4.00 
Pavarde354                    Vardas354                     4.00 
Pavarde3540                   Vardas3540                    7.00 
Pavarde3541                   Vardas3541                    9.00 
Pavarde3542                   Vardas3542                    6.00 
Pavarde3543                   Vardas3543                    6.00 
Pavarde3544                   Vardas3544                    7.00 
Pavarde3545                   Vardas3545                    5.00 
Pavarde3546                   Vardas3546                    7.00 
Pavarde3547                   Vardas3547                    5.00 
Pavarde3548                   Vardas3548                    6.00 
Pavarde3549                   Vardas3549                    7.00 
Pavarde355                    Vardas355                     4.00 
Pavarde3550                   Vardas3550                    7.00 
Pavarde3551                   Vardas3551                    5.00 
Pavarde3552                   Vardas3552                    6.00 
Pavarde3553                   Vardas3553                    5.00 
Pavarde3554                   Vardas3554                    5.00 
Pavarde3555                   Vardas3555                    5.00 
Pavarde3556                   Vardas3556                    7.00 
Pavarde3557                   Vardas3557                    7.00 
Pavarde3558                   Vardas3558                    6.00 
Pavarde3559                   Vardas3559                    5.00 
Pavarde356                    Vardas356                     5.00 
Pavarde3560                   Vardas3560                    5.00 
Pavarde3561                   Vardas3561                    6.00 
Pavarde3562                   Vardas3562                    6.00 
Pavarde3563                   Vardas3563                    5.00 
Pavarde3564                   Vardas3564                    7.00 
Pavarde3565                   Vardas3565                    6.00 
Pavarde3566                   Vardas3566                    6.00 
Pavarde3567                   Vardas3567                    6.00 
Pavarde3568                   Vardas3568                    4.00 
Pavarde3569                   Vardas3569                    5.00 
Pavarde357                    Vardas357                     6.00 
Pavarde3570                   Vardas3570                    5.00 
Pavarde3571                   Vardas3571                    5.00 
Pavarde3572                   Vardas3572                    6.00 
Pavarde3573                   Vardas3573                    5.00 
Pavarde3574                   Vardas3574                    4.00 
Pavarde3575                   Vardas3575                    6.00 
Pavarde3576                   Vardas3576                    7.00 
Pavarde3577                   Vardas3577                    7.00 
Pavarde3578                   Vardas3578                    4.00 
Pavarde3579                   Vardas3579                    5.00 
Pavarde358                    Vardas358                     4.00 
Pavarde3580                   Vardas3580                    5.00 
Pavarde3581                   Vardas3581                    6.00 
Pavarde3582                   Vardas3582                    6.00 
Pavarde3583                   Vardas3583                    4.00 
Pavarde3584                   Vardas3584                    6.00 
Pavarde3585                   Vardas3585                    5.00 
Pavarde3586                   Vardas3586                    5.00 
Pavarde3587                   Vardas3587                    7.00 
Pavarde3588                   Vardas3588                    6.00 
Pavarde3589                   Vardas3589                    6.00 
Pavarde359                    Vardas359                     7.00 
Pavarde3590                   Vardas3590                    4.00 
Pavarde3591                   Vardas3591                    5.00 
Pavarde3592                   Vardas3592                    6.00 
Pavarde3593                   Vardas3593                    5.00 
Pavarde3594                   Vardas3594                    5.00 
Pavarde3595                   Vardas3595                    3.00 
Pavarde3596                   Vardas3596                    5.00 
Pavarde3597                   Vardas3597                    4.00 
Pavarde3598                   Vardas3598                    6.00 
Pavarde3599                   Vardas3599                    5.00 
Pavarde36                     Vardas36                      8.00 
Pavarde360                    Vardas360                     5.00 
Pavarde3600                   Vardas3600                    6.00 
Pavarde3601                   Vardas3601                    5.00 
Pavarde3602                   Vardas3602                    5.00 
Pavarde3603                   Vardas3603                    5.00 
Pavarde3604                   Vardas3604                    6.00 
Pavarde3605                   Vardas3605                    7.00 
Pavarde3606                   Vardas3606                    7.00 
Pavarde3607                   Vardas3607                    4.00 
Pavarde3608                   Vardas3608                    6.00 
Pavarde3609                   Vardas3609                    7.00 
Pavarde361                    Vardas361                     5.00 
Pavarde3610                   Vardas3610                    4.00 
Pavarde3611                   Vardas3611                    5.00 
Pavarde3612                   Vardas3612                    6.00 
Pavarde3613                   Vardas3613                    7.00 
Pavarde3614                   Vardas3614                    5.00 
Pavarde3615                   Vardas3615                    5.00 
Pavarde3616                   Vardas3616                    4.00 
Pavarde3617                   Vardas3617                    7.00 
Pavarde3618                   Vardas3618                    4.00 
Pavarde3619                   Vardas3619                    6.00 
Pavarde362                    Vardas362                     3.00 
Pavarde3620                   Vardas3620                    3.00 
Pavarde3621                   Vardas3621                    6.00 
Pavarde3622                   Vardas3622                    6.00 
Pavarde3623                   Vardas3623                    6.00 
Pavarde3624                   Vardas3624                    7.00 
Pavarde3625                   Vardas3625                    6.00 
Pavarde3626                   Vardas3626                    4.00 
Pavarde3627                   Vardas3627                    5.00 
Pavarde3628                   Vardas3628                    5.00 
Pavarde3629                   Vardas3629                    5.00 
Pavarde363                    Vardas363                     3.00 
Pavarde3630                   Vardas3630                    5.00 
Pavarde3631                   Vardas3631                    8.00 
Pavarde3632                   Vardas3632                    7.00 
Pavarde3633                   Vardas3633                    6.00 
Pavarde3634                   Vardas3634                    6.00 
Pavarde3635                   Vardas3635                    2.00 
Pavarde3636                   Vardas3636                    4.00 
Pavarde3637                   Vardas3637                    5.00 
Pavarde3638                   Vardas3638                    6.00 
Pavarde3639                   Vardas3639                    6.00 
Pavarde364                    Vardas364                     5.00 
Pavarde3640                   Vardas3640                    8.00 
Pavarde3641                   Vardas3641                    8.00 
Pavarde3642                   Vardas3642                    7.00 
Pavarde3643                   Vardas3643                    6.00 
Pavarde3644                   Vardas3644                    5.00 
Pavarde3645                   Vardas3645                    5.00 
Pavarde3646                   Vardas3646                    6.00 
Pavarde3647                   Vardas3647                    5.00 
Pavarde3648                   Vardas3648                    5.00 
Pavarde3649                   Vardas3649                    6.00 
Pavarde365                    Vardas365                     5.00 
Pavarde3650                   Vardas3650                    6.00 
Pavarde3651                   Vardas3651                    5.00 
Pavarde3652                   Vardas3652                    4.00 
Pavarde3653                   Vardas3653                    7.00 
Pavarde3654                   Vardas3654                    3.00 
Pavarde3655                   Vardas3655                    7.00 
Pavarde3656                   Vardas3656                    6.00 
Pavarde3657                   Vardas3657                    7.00 
Pavarde3658                   Vardas3658                    7.00 
Pavarde3659                   Vardas3659                    5.00 
Pavarde366                    Vardas366                     3.00 
Pavarde3660                   Vardas3660                    6.00 
Pavarde3661                   Vardas3661                    7.00 
Pavarde3662                   Vardas3662                    6.00 
Pavarde3663                   Vardas3663                    6.00 
Pavarde3664                   Vardas3664                    7.00 
Pavarde3665                   Vardas3665                    6.00 
Pavarde3666                   Vardas3666                    6.00 
Pavarde3667                   Vardas3667                    5.00 
Pavarde3668                   Vardas3668                    5.00 
Pavarde3669                   Vardas3669                    8.00 
Pavarde367                    Vardas367                     3.00 
Pavarde3670                   Vardas3670                    6.00 
Pavarde3671                   Vardas3671                    3.00 
Pavarde3672                   Vardas3672                    5.00 
Pavarde3673                   Vardas3673                    6.00 
Pavarde3674                   Vardas3674                    7.00 
Pavarde3675                   Vardas3675                    5.00 
Pavarde3676                   Vardas3676                    4.00 
Pavarde3677                   Vardas3677                    7.00 
Pavarde3678                   Vardas3678                    6.00 
Pavarde3679                   Vardas3679                    4.00 
Pavarde368                    Vardas368                     5.00 
Pavarde3680                   Vardas3680                    6.00 
Pavarde3681                   Vardas3681                    8.00 
Pavarde3682                   Vardas3682                    5.00 
Pavarde3683                   Vardas3683                    4.00 
Pavarde3684                   Vardas3684                    7.00 
Pavarde3685                   Vardas3685                    8.00 
Pavarde3686                   Vardas3686                    4.00 
Pavarde3687                   Vardas3687                    5.00 
Pavarde3688                   Vardas3688                    7.00 
Pavarde3689                   Vardas3689                    7.00 
Pavarde369                    Vardas369                     4.00 
Pavarde3690                   Vardas3690                    6.00 
Pavarde3691                   Vardas3691                    5.00 
Pavarde3692                   Vardas3692                    4.00 
Pavarde3693                   Vardas3693                    4.00 
Pavarde3694                   Vardas3694                    7.00 
Pavarde3695                   Vardas3695                    4.00 
Pavarde3696                   Vardas3696                    4.00 
Pavarde3697                   Vardas3697                    7.00 
Pavarde3698                   Vardas3698                    7.00 
Pavarde3699                   Vardas3699                    6.00 
Pavarde37                     Vardas37                      6.00 
Pavarde370                    Vardas370                     7.00 
Pavarde3700                   Vardas3700                    7.00 
Pavarde3701                   Vardas3701                    6.00 
Pavarde3702                   Vardas3702                    6.00 
Pavarde3703                   Vardas3703                    6.00 
Pavarde3704                   Vardas3704                    6.00 
Pavarde3705                   Vardas3705                    6.00 
Pavarde3706                   Vardas3706                    3.00 
Pavarde3707                   Vardas3707                    4.00 
Pavarde3708                   Vardas3708                    7.00 
Pavarde3709                   Vardas3709                    5.00 
Pavarde371                    Vardas371                     5.00 
Pavarde3710                   Vardas3710                    6.00 
Pavarde3711                   Vardas3711                    6.00 
Pavarde3712                   Vardas3712                    6.00 
Pavarde3713                   Vardas3713                    5.00 
Pavarde3714                   Vardas3714                    8.00 
Pavarde3715                   Vardas3715                    5.00 
Pavarde3716                   Vardas3716                    7.00 
Pavarde3717                   Vardas3717                    6.00 
Pavarde3718                   Vardas3718                    7.00 
Pavarde3719                   Vardas3719                    3.00 
Pavarde372                    Vardas372                     5.00 
Pavarde3720                   Vardas3720                    5.00 
Pavarde3721                   Vardas3721                    4.00 
Pavarde3722                   Vardas3722                    4.00 
Pavarde3723                   Vardas3723                    6.00 
Pavarde3724                   Vardas3724                    8.00 
Pavarde3725                   Vardas3725                    4.00 
Pavarde3726                   Vardas3726                    7.00 
Pavarde3727                   Vardas3727                    6.00 
Pavarde3728                   Vardas3728                    4.00 
Pavarde3729                   Vardas3729                    6.00 
Pavarde373                    Vardas373                     6.00 
Pavarde3730                   Vardas3730                    7.00 
Pavarde3731                   Vardas3731                    6.00 
Pavarde3732                   Vardas3732                    5.00 
Pavarde3733                   Vardas3733                    4.00 
Pavarde3734                   Vardas3734                    5.00 
Pavarde3735                   Vardas3735                    6.00 
Pavarde3736                   Vardas3736                    5.00 
Pavarde3737                   Vardas3737                    3.00 
Pavarde3738                   Vardas3738                    6.00 
Pavarde3739                   Vardas3739                    6.00 
Pavarde374                    Vardas374                     6.00 
Pavarde3740                   Vardas3740                    5.00 
Pavarde3741                   Vardas3741                    7.00 
Pavarde3742                   Vardas3742                    6.00 
Pavarde3743                   Vardas3743                    6.00 
Pavarde3744                   Vardas3744                    6.00 
Pavarde3745                   Vardas3745                    6.00 
Pavarde3746                   Vardas3746                    5.00 
Pavarde3747                   Vardas3747                    5.00 
Pavarde3748                   Vardas3748                    4.00 
Pavarde3749                   Vardas3749                    6.00 
Pavarde375                    Vardas375                     4.00 
Pavarde3750                   Vardas3750                    4.00 
Pavarde3751                   Vardas3751                    4.00 
Pavarde3752                   Vardas3752                    5.00 
Pavarde3753                   Vardas3753                    7.00 
Pavarde3754                   Vardas3754                    6.00 
Pavarde3755                   Vardas3755                    6.00 
Pavarde3756                   Vardas3756                    6.00 
Pavarde3757                   Vardas3757                    2.00 
Pavarde3758                   Vardas3758                    8.00 
Pavarde3759                   Vardas3759                    5.00 
Pavarde376                    Vardas376                     7.00 
Pavarde3760                   Vardas3760                    4.00 
Pavarde3761                   Vardas3761                    5.00 
Pavarde3762                   Vardas3762                    7.00 
Pavarde3763                   Vardas3763                    5.00 
Pavarde3764                   Vardas3764                    4.00 
Pavarde3765                   Vardas3765                    4.00 
Pavarde3766                   Vardas3766                    5.00 
Pavarde3767                   Vardas3767                    3.00 
Pavarde3768                   Vardas3768                    6.00 
Pavarde3769                   Vardas3769                    8.00 
Pavarde377                    Vardas377                     4.00 
Pavarde3770                   Vardas3770                    5.00 
Pavarde3771                   Vardas3771                    6.00 
Pavarde3772                   Vardas3772                    7.00 
Pavarde3773                   Vardas3773                    5.00 
Pavarde3774                   Vardas3774                    4.00 
Pavarde3775                   Vardas3775                    6.00 
Pavarde3776                   Vardas3776                    4.00 
Pavarde3777                   Vardas3777                    3.00 
Pavarde3778                   Vardas3778                    8.00 
Pavarde3779                   Vardas3779                    7.00 
Pavarde378                    Vardas378                     7.00 
Pavarde3780                   Vardas3780                    7.00 
Pavarde3781                   Vardas3781                    6.00 
Pavarde3782                   Vardas3782                    4.00 
Pavarde3783                   Vardas3783                    8.00 
Pavarde3784                   Vardas3784                    7.00 
Pavarde3785                   Vardas3785                    6.00 
Pavarde3786                   Vardas3786                    5.00 
Pavarde3787                   Vardas3787                    6.00 
Pavarde3788                   Vardas3788                    7.00 
Pavarde3789                   Vardas3789                    5.00 
Pavarde379                    Vardas379                     4.00 
Pavarde3790                   Vardas3790                    7.00 
Pavarde3791                   Vardas3791                    4.00 
Pavarde3792                   Vardas3792                    7.00 
Pavarde3793                   Vardas3793                    4.00 
Pavarde3794                   Vardas3794                    7.00 
Pavarde3795                   Vardas3795                    6.00 
Pavarde3796                   Vardas3796                    4.00 
Pavarde3797                   Vardas3797                    4.00 
Pavarde3798                   Vardas3798                    5.00 
Pavarde3799                   Vardas3799                    7.00 
Pavarde38                     Vardas38                      4.00 
Pavarde380                    Vardas380                     6.00 
Pavarde3800                   Vardas3800                    4.00 
Pavarde3801                   Vardas3801                    7.00 
Pavarde3802                   Vardas3802                    6.00 
Pavarde3803                   Vardas3803                    8.00 
Pavarde3804                   Vardas3804                    5.00 
Pavarde3805                   Vardas3805                    4.00 
Pavarde3806                   Vardas3806                    6.00 
Pavarde3807                   Vardas3807                    4.00 
Pavarde3808                   Vardas3808                    6.00 
Pavarde3809                   Vardas3809                    6.00 
Pavarde381                    Vardas381                     6.00 
Pavarde3810                   Vardas3810                    6.00 
Pavarde3811                   Vardas3811                    7.00 
Pavarde3812                   Vardas3812                    5.00 
Pavarde3813                   Vardas3813                    6.00 
Pavarde3814                   Vardas3814                    6.00 
Pavarde3815                   Vardas3815                    4.00 
Pavarde3816                   Vardas3816                    6.00 
Pavarde3817                   Vardas3817                    8.00 
Pavarde3818                   Vardas3818                    6.00 
Pavarde3819                   Vardas3819                    7.00 
Pavarde382                    Vardas382                     6.00 
Pavarde3820                   Vardas3820                    6.00 
Pavarde3821                   Vardas3821                    4.00 
Pavarde3822                   Vardas3822                    6.00 
Pavarde3823                   Vardas3823                    7.00 
Pavarde3824                   Vardas3824                    5.00 
Pavarde3825                   Vardas3825                    4.00 
Pavarde3826                   Vardas3826                    4.00 
Pavarde3827                   Vardas3827                    5.00 
Pavarde3828                   Vardas3828                    4.00 
Pavarde3829                   Vardas3829                    7.00 
Pavarde383                    Vardas383                     7.00 
Pavarde3830                   Vardas3830                    6.00 
Pavarde3831                   Vardas3831                    7.00 
Pavarde3832                   Vardas3832                    5.00 
Pavarde3833                   Vardas3833                    6.00 
Pavarde3834                   Vardas3834                    6.00 
Pavarde3835                   Vardas3835                    4.00 
Pavarde3836                   Vardas3836                    6.00 
Pavarde3837                   Vardas3837                    6.00 
Pavarde3838                   Vardas3838                    7.00 
Pavarde3839                   Vardas3839                    5.00 
Pavarde384                    Vardas384                     4.00 
Pavarde3840                   Vardas3840                    6.00 
Pavarde3841                   Vardas3841                    5.00 
Pavarde3842                   Vardas3842                    4.00 
Pavarde3843                   Vardas3843                    5.00 
Pavarde3844                   Vardas3844                    6.00 
Pavarde3845                   Vardas3845                    5.00 
Pavarde3846                   Vardas3846                    5.00 
Pavarde3847                   Vardas3847                    6.00 
Pavarde3848                   Vardas3848                    5.00 
Pavarde3849                   Vardas3849                    5.00 
Pavarde385                    Vardas385                     6.00 
Pavarde3850                   Vardas3850                    6.00 
Pavarde3851                   Vardas3851                    6.00 
Pavarde3852                   Vardas3852                    8.00 
Pavarde3853                   Vardas3853                    6.00 
Pavarde3854                   Vardas3854                    3.00 
Pavarde3855                   Vardas3855                    5.00 
Pavarde3856                   Vardas3856                    5.00 
Pavarde3857                   Vardas3857                    6.00 
Pavarde3858                   Vardas3858                    4.00 
Pavarde3859                   Vardas3859                    5.00 
Pavarde386                    Vardas386                     6.00 
Pavarde3860                   Vardas3860                    4.00 
Pavarde3861                   Vardas3861                    7.00 
Pavarde3862                   Vardas3862                    5.00 
Pavarde3863                   Vardas3863                    5.00 
Pavarde3864                   Vardas3864                    4.00 
Pavarde3865                   Vardas3865                    4.00 
Pavarde3866                   Vardas3866                    6.00 
Pavarde3867                   Vardas3867                    4.00 
Pavarde3868                   Vardas3868                    5.00 
Pavarde3869                   Vardas3869                    5.00 
Pavarde387                    Vardas387                     8.00 
Pavarde3870                   Vardas3870                    8.00 
Pavarde3871                   Vardas3871                    6.00 
Pavarde3872                   Vardas3872                    3.00 
Pavarde3873                   Vardas3873                    3.00 
Pavarde3874                   Vardas3874                    5.00 
Pavarde3875                   Vardas3875                    6.00 
Pavarde3876                   Vardas3876                    7.00 
Pavarde3877                   Vardas3877                    5.00 
Pavarde3878                   Vardas3878                    5.00 
Pavarde3879                   Vardas3879                    5.00 
Pavarde388                    Vardas388                     8.00 
Pavarde3880                   Vardas3880                    4.00 
Pavarde3881                   Vardas3881                    7.00 
Pavarde3882                   Vardas3882                    7.00 
Pavarde3883                   Vardas3883                    6.00 
Pavarde3884                   Vardas3884                    7.00 
Pavarde3885                   Vardas3885                    7.00 
Pavarde3886                   Vardas3886                    5.00 
Pavarde3887                   Vardas3887                    6.00 
Pavarde3888                   Vardas3888                    5.00 
Pavarde3889                   Vardas3889                    5.00 
Pavarde389                    Vardas389                     5.00 
Pavarde3890                   Vardas3890                    6.00 
Pavarde3891                   Vardas3891                    4.00 
Pavarde3892                   Vardas3892                    4.00 
Pavarde3893                   Vardas3893                    5.00 
Pavarde3894                   Vardas3894                    7.00 
Pavarde3895                   Vardas3895                    6.00 
Pavarde3896                   Vardas3896                    7.00 
Pavarde3897                   Vardas3897                    4.00 
Pavarde3898                   Vardas3898                    6.00 
Pavarde3899                   Vardas3899                    6.00 
Pavarde39                     Vardas39                      5.00 
Pavarde390                    Vardas390                     6.00 
Pavarde3900                   Vardas3900                    6.00 
Pavarde3901                   Vardas3901                    5.00 
Pavarde3902                   Vardas3902                    6.00 
Pavarde3903                   Vardas3903                    7.00 
Pavarde3904                   Vardas3904                    5.00 
Pavarde3905                   Vardas3905                    3.00 
Pavarde3906                   Vardas3906                    5.00 
Pavarde3907                   Vardas3907                    6.00 
Pavarde3908                   Vardas3908                    4.00 
Pavarde3909                   Vardas3909                    3.00 
Pavarde391                    Vardas391                     5.00 
Pavarde3910                   Vardas3910                    6.00 
Pavarde3911                   Vardas3911                    6.00 
Pavarde3912                   Vardas3912                    6.00 
Pavarde3913                   Vardas3913                    5.00 
Pavarde3914                   Vardas3914                    4.00 
Pavarde3915                   Vardas3915                    7.00 
Pavarde3916                   Vardas3916                    6.00 
Pavarde3917                   Vardas3917                    5.00 
Pavarde3918                   Vardas3918                    7.00 
Pavarde3919                   Vardas3919                    5.00 
Pavarde392                    Vardas392                     5.00 
Pavarde3920                   Vardas3920                    8.00 
Pavarde3921                   Vardas3921                    6.00 
Pavarde3922                   Vardas3922                    6.00 
Pavarde3923                   Vardas3923                    6.00 
Pavarde3924                   Vardas3924                    9.00 
Pavarde3925                   Vardas3925                    4.00 
Pavarde3926                   Vardas3926                    6.00 
Pavarde3927                   Vardas3927                    6.00 
Pavarde3928                   Vardas3928                    3.00 
Pavarde3929                   Vardas3929                    7.00 
Pavarde393                    Vardas393                     6.00 
Pavarde3930                   Vardas3930                    7.00 
Pavarde3931                   Vardas3931                    2.00 
Pavarde3932                   Vardas3932                    8.00 
Pavarde3933                   Vardas3933                    6.00 
Pavarde3934                   Vardas3934                    7.00 
Pavarde3935                   Vardas3935                    5.00 
Pavarde3936                   Vardas3936                    7.00 
Pavarde3937                   Vardas3937                    5.00 
Pavarde3938                   Vardas3938                    4.00 
Pavarde3939                   Vardas3939                    6.00 
Pavarde394                    Vardas394                     6.00 
Pavarde3940                   Vardas3940                    5.00 
Pavarde3941                   Vardas3941                    4.00 
Pavarde3942                   Vardas3942                    5.00 
Pavarde3943                   Vardas3943                    5.00 
Pavarde3944                   Vardas3944                    6.00 
Pavarde3945                   Vardas3945                    6.00 
Pavarde3946                   Vardas3946                    5.00 
Pavarde3947                   Vardas3947                    8.00 
Pavarde3948                   Vardas3948                    5.00 
Pavarde3949                   Vardas3949                    5.00 
Pavarde395                    Vardas395                     6.00 
Pavarde3950                   Vardas3950                    6.00 
Pavarde3951                   Vardas3951                    5.00 
Pavarde3952                   Vardas3952                    5.00 
Pavarde3953                   Vardas3953                    6.00 
Pavarde3954                   Vardas3954                    4.00 
Pavarde3955                   Vardas3955                    3.00 
Pavarde3956                   Vardas3956                    4.00 
Pavarde3957                   Vardas3957                    6.00 
Pavarde3958                   Vardas3958                    6.00 
Pavarde3959                   Vardas3959                    6.00 
Pavarde396                    Vardas396                     7.00 
Pavarde3960                   Vardas3960                    5.00 
Pavarde3961                   Vardas3961                    7.00 
Pavarde3962                   Vardas3962                    6.00 
Pavarde3963                   Vardas3963                    5.00 
Pavarde3964                   Vardas3964                    5.00 
Pavarde3965                   Vardas3965                    5.00 
Pavarde3966                   Vardas3966                    7.00 
Pavarde3967                   Vardas3967                    5.00 
Pavarde3968                   Vardas3968                    6.00 
Pavarde3969                   Vardas3969                    6.00 
Pavarde397                    Vardas397                     8.00 
Pavarde3970                   Vardas3970                    4.00 
Pavarde3971                   Vardas3971                    4.00 
Pavarde3972                   Vardas3972                    5.00 
Pavarde3973                   Vardas3973                    5.00 
Pavarde3974                   Vardas3974                    4.00 
Pavarde3975                   Vardas3975                    8.00 
Pavarde3976                   Vardas3976                    6.00 
Pavarde3977                   Vardas3977                    5.00 
Pavarde3978                   Vardas3978                    5.00 
Pavarde3979                   Vardas3979                    5.00 
Pavarde398                    Vardas398                     3.00 
Pavarde3980                   Vardas3980                    3.00 
Pavarde3981                   Vardas3981                    5.00 
Pavarde3982                   Vardas3982                    6.00 
Pavarde3983                   Vardas3983                    7.00 
Pavarde3984                   Vardas3984                    7.00 
Pavarde3985                   Vardas3985                    8.00 
Pavarde3986                   Vardas3986                    6.00 
Pavarde3987                   Vardas3987                    7.00 
Pavarde3988                   Vardas3988                    6.00 
Pavarde3989                   Vardas3989                    4.00 
Pavarde399                    Vardas399                     5.00 
Pavarde3990                   Vardas3990                    5.00 
Pavarde3991                   Vardas3991                    5.00 
Pavarde3992                   Vardas3992                    6.00 
Pavarde3993                   Vardas3993                    8.00 
Pavarde3994                   Vardas3994                    5.00 
Pavarde3995                   Vardas3995                    7.00 
Pavarde3996                   Vardas3996                    6.00 
Pavarde3997                   Vardas3997                    6.00 
Pavarde3998                   Vardas3998                    5.00 
Pavarde3999                   Vardas3999                    4.00 
Pavarde4                      Vardas4                       7.00 
Pavarde40                     Vardas40                      4.00 
Pavarde400                    Vardas400                     5.00 
Pavarde4000                   Vardas4000                    4.00 
Pavarde4001                   Vardas4001                    4.00 
Pavarde4002                   Vardas4002                    7.00 
Pavarde4003                   Vardas4003                    5.00 
Pavarde4004                   Vardas4004                    7.00 
Pavarde4005                   Vardas4005                    6.00 
Pavarde4006                   Vardas4006                    6.00 
Pavarde4007                   Vardas4007                    4.00 
Pavarde4008                   Vardas4008                    7.00 
Pavarde4009                   Vardas4009                    4.00 
Pavarde401                    Vardas401                     6.00 
Pavarde4010                   Vardas4010                    5.00 
Pavarde4011                   Vardas4011                    6.00 
Pavarde4012                   Vardas4012                    7.00 
Pavarde4013                   Vardas4013                    5.00 
Pavarde4014                   Vardas4014                    5.00 
Pavarde4015                   Vardas4015                    6.00 
Pavarde4016                   Vardas4016                    6.00 
Pavarde4017                   Vardas4017                    7.00 
Pavarde4018                   Vardas4018                    5.00 
Pavarde4019                   Vardas4019                    4.00 
Pavarde402                    Vardas402                     4.00 
Pavarde4020                   Vardas4020                    2.00 
Pavarde4021                   Vardas4021                    7.00 
Pavarde4022                   Vardas4022                    5.00 
Pavarde4023                   Vardas4023                    5.00 
Pavarde4024                   Vardas4024                    6.00 
Pavarde4025                   Vardas4025                    6.00 
Pavarde4026                   Vardas4026                    4.00 
Pavarde4027                   Vardas4027                    6.00 
Pavarde4028                   Vardas4028                    6.00 
Pavarde4029                   Vardas4029                    5.00 
Pavarde403                    Vardas403                     4.00 
Pavarde4030                   Vardas4030                    5.00 
Pavarde4031                   Vardas4031                    6.00 
Pavarde4032                   Vardas4032                    4.00 
Pavarde4033                   Vardas4033                    8.00 
Pavarde4034                   Vardas4034                    5.00 
Pavarde4035                   Vardas4035                    7.00 
Pavarde4036                   Vardas4036                    4.00 
Pavarde4037                   Vardas4037                    5.00 
Pavarde4038                   Vardas4038                    5.00 
Pavarde4039                   Vardas4039                    6.00 
Pavarde404                    Vardas404                     7.00 
Pavarde4040                   Vardas4040                    3.00 
Pavarde4041                   Vardas4041                    4.00 
Pavarde4042                   Vardas4042                    5.00 
Pavarde4043                   Vardas4043                    4.00 
Pavarde4044                   Vardas4044                    6.00 
Pavarde4045                   Vardas4045                    6.00 
Pavarde4046                   Vardas4046                    4.00 
Pavarde4047                   Vardas4047                    7.00 
Pavarde4048                   Vardas4048                    6.00 
Pavarde4049                   Vardas4049                    7.00 
Pavarde405                    Vardas405                     7.00 
Pavarde4050                   Vardas4050                    4.00 
Pavarde4051                   Vardas4051                    5.00 
Pavarde4052                   Vardas4052                    6.00 
Pavarde4053                   Vardas4053                    6.00 
Pavarde4054                   Vardas4054                    7.00 
Pavarde4055                   Vardas4055                    3.00 
Pavarde4056                   Vardas4056                    7.00 
Pavarde4057                   Vardas4057                    3.00 
Pavarde4058                   Vardas4058                    4.00 
Pavarde4059                   Vardas4059                    6.00 
Pavarde406                    Vardas406                     5.00 
Pavarde4060                   Vardas4060                    3.00 
Pavarde4061                   Vardas4061                    6.00 
Pavarde4062                   Vardas4062                    4.00 
Pavarde4063                   Vardas4063                    5.00 
Pavarde4064                   Vardas4064                    6.00 
Pavarde4065                   Vardas4065                    3.00 
Pavarde4066                   Vardas4066                    6.00 
Pavarde4067                   Vardas4067                    5.00 
Pavarde4068                   Vardas4068                    7.00 
Pavarde4069                   Vardas4069                    7.00 
Pavarde407                    Vardas407                     5.00 
Pavarde4070                   Vardas4070                    6.00 
Pavarde4071                   Vardas4071                    7.00 
Pavarde4072                   Vardas4072                    7.00 
Pavarde4073                   Vardas4073                    7.00 
Pavarde4074                   Vardas4074                    6.00 
Pavarde4075                   Vardas4075                    4.00 
Pavarde4076                   Vardas4076                    7.00 
Pavarde4077                   Vardas4077                    6.00 
Pavarde4078                   Vardas4078                    7.00 
Pavarde4079                   Vardas4079                    7.00 
Pavarde408                    Vardas408                     6.00 
Pavarde4080                   Vardas4080                    4.00 
Pavarde4081                   Vardas4081                    7.00 
Pavarde4082                   Vardas4082                    5.00 
Pavarde4083                   Vardas4083                    6.00 
Pavarde4084                   Vardas4084                    7.00 
Pavarde4085                   Vardas4085                    4.00 
